price,sqft_living,sqft_basement
221900.0,1180,0
538e3,2570,400
18e4,770,0
604e3,1960,910
51e4,1680,0
1225e3,5420,1530
257500.0,1715,0
291850.0,1060,0
229500.0,1780,730
323e3,1890,0
662500.0,3560,1700
468e3,1160,300
31e4,1430,0
4e5,1370,0
53e4,1810,0
65e4,2950,970
395e3,1890,0
485e3,1600,0
189e3,1200,0
23e4,1250,0
385e3,1620,760
2e6,3050,720
285e3,2270,0
252700.0,1070,0
329e3,2450,0
233e3,1710,0
937e3,2450,700
667e3,1400,0
438e3,1520,730
719e3,2570,0
580500.0,2320,0
28e4,1190,0
687500.0,2330,820
535e3,1090,0
322500.0,2060,780
696e3,2300,790
55e4,1660,730
64e4,2360,0
24e4,1220,330
605e3,2620,0
625e3,2570,0
775e3,4220,1620
861990.0,3595,0
685e3,1570,0
309e3,1280,360
488e3,3160,0
210490.0,990,0
785e3,2290,0
45e4,1250,0
135e4,2753,588
228e3,1190,0
345e3,3150,1510
6e5,1410,410
585e3,1980,990
92e4,2730,600
885e3,2830,0
292500.0,2250,0
301e3,2420,0
951e3,3250,0
43e4,1850,0
65e4,2150,560
289e3,1260,0
505e3,2519,0
549e3,1540,0
425e3,1660,550
317625.0,2770,1000
975e3,2720,0
287e3,2240,0
204e3,1000,0
1325e3,3200,1600
104e4,4770,1700
325e3,1260,0
571e3,2750,500
36e4,2380,0
349e3,1790,700
832500.0,3430,1040
38e4,1760,880
48e4,1040,0
41e4,1410,500
72e4,3450,0
39e4,2350,0
36e4,1900,0
355e3,2020,1010
356e3,1680,0
315e3,960,0
94e4,2140,240
305e3,2660,0
461e3,2770,790
215e3,1610,0
335e3,1030,265
243500.0,1980,0
1099880.0,3520,0
153e3,1200,0
43e4,1580,290
7e5,1580,290
905e3,3300,910
247500.0,1960,0
199e3,1160,0
314e3,1810,600
437500.0,2320,0
850830.0,2070,800
555e3,1980,540
699950.0,2190,0
1088e3,2920,0
29e4,1210,0
375e3,2340,880
46e4,1670,500
188500.0,1240,0
68e4,3140,0
47e4,2030,0
597750.0,2310,0
57e4,1260,560
272500.0,1540,380
329950.0,2080,1000
48e4,3230,710
740500.0,4380,1600
518500.0,1590,0
205425.0,880,0
171800.0,1570,0
535e3,1610,0
66e4,2400,840
391500.0,1450,0
395e3,770,0
445e3,2100,380
77e4,2910,0
145e4,2750,770
445e3,2100,480
26e4,2160,800
822500.0,2320,600
43e4,2070,0
212e3,1060,0
660500.0,2010,570
784e3,3950,1490
453246.0,2010,620
675e3,2140,0
199e3,1320,0
22e4,2020,1010
452e3,2590,1250
382500.0,1190,0
519950.0,1170,0
665e3,1110,0
527700.0,2820,1270
205e3,1610,600
42e4,1060,120
5e5,2030,650
921500.0,3670,0
89e4,2550,180
43e4,2420,0
258e3,2260,1130
511e3,1430,450
532170.0,1360,0
56e4,1110,0
282950.0,1250,0
225e4,5180,1640
35e4,700,0
215e3,1180,0
65e4,3960,1460
32e4,2640,1020
247e3,1270,0
32e4,1760,0
255e3,2060,1030
438e3,1780,0
9e5,3400,0
441e3,1910,750
42e4,2020,1010
37e4,1580,400
269950.0,1340,640
807100.0,2680,0
653e3,2680,1070
371500.0,1370,0
284e3,1560,0
272e3,2160,490
313e3,1340,0
917500.0,3880,1310
673e3,2590,0
425e3,1120,300
399950.0,1970,650
385e3,1220,0
269950.0,1950,630
33e4,1350,290
26e4,1670,0
47e4,2380,700
589e3,2440,0
163500.0,1050,0
835e3,3130,990
1095e3,4090,2000
269e3,1490,390
56e4,1900,0
615e3,1330,0
585188.0,2230,800
305e3,1650,430
166950.0,1190,0
799e3,2140,0
4e5,2180,760
23e4,1060,0
256883.0,1690,0
423e3,1970,840
465e3,2150,0
44e4,1910,0
385e3,1350,0
21e4,860,0
297e3,1940,0
47e4,1010,0
226500.0,1300,400
274250.0,910,0
84e4,2480,850
677900.0,2440,0
425e3,1010,0
180250.0,900,0
464e3,2300,700
32e4,1550,0
625504.0,1270,210
592500.0,2240,0
465e3,2714,0
477e3,1720,0
28e4,850,0
1505e3,3300,1430
445838.0,2250,0
1072e3,3900,1950
467e3,1320,0
686e3,2760,0
279950.0,1750,400
527e3,2330,0
325e3,2220,440
328e3,2020,0
39e4,1250,0
479950.0,1510,0
264950.0,1720,600
235e3,1430,450
516500.0,1480,0
655e3,1450,220
5e5,2280,0
315e3,2940,1160
213e3,1000,0
475e3,2480,860
1025e3,3760,0
416e3,2220,580
41e4,1970,300
8e5,3830,300
472e3,4410,2060
225e3,1430,0
21e4,830,0
455e3,1430,0
225e3,1300,0
48e4,1030,240
363e3,2740,0
24e5,3650,1820
181e3,720,0
25e4,2010,0
481e3,1560,790
26e4,1810,570
455e3,3360,0
415e3,1510,0
349500.0,1400,600
245e3,1730,0
592500.0,1420,0
385e3,2360,1180
315e3,1580,380
255e3,1230,0
693e3,2460,0
78e4,1660,200
237e3,1270,0
525e3,2100,780
425e3,770,0
369900.0,760,0
29e4,1700,0
285e3,1120,0
415e3,1070,0
272500.0,2070,650
29e5,5050,300
1365e3,5310,0
436e3,1040,0
21e4,1700,0
236e3,1300,0
331e3,1080,500
365e3,2653,0
45e4,2290,0
77e4,3820,970
455e3,2210,0
405e3,2390,1150
304900.0,2600,990
17e4,860,0
205e4,3830,1200
78e4,3500,0
33e4,2420,680
37e4,2720,0
467e3,2500,650
405e3,1670,530
675e3,2900,1450
5e5,1640,500
389999.0,1890,0
63e4,2950,1170
36e4,2160,0
58e4,3280,1010
55e4,1970,700
879e3,3360,0
265e3,1320,0
446500.0,2650,0
404e3,2030,700
267500.0,1590,500
3075e3,4550,1950
335e3,2440,0
576e3,1940,970
208633.0,2040,0
315e3,2200,1080
725e3,1920,960
55e4,1800,400
610750.0,2180,0
550700.0,1010,0
665e3,3320,1100
834e3,2370,390
201e3,1660,0
2384e3,3650,280
1384e3,4290,1600
14e5,4290,1600
305e3,1950,600
487e3,2590,870
39e4,1930,0
548e3,1470,300
268750.0,800,0
819900.0,3150,0
52e4,2030,0
23e4,1450,0
24e4,1510,0
232e3,1240,280
240500.0,1240,280
274975.0,3030,0
74e4,2050,0
186375.0,1000,0
79e4,2370,780
