Snow on the ground at Whistler weather station for 2010 and 2011

Date,Minimum_Temperature,Snow_ground
2010-01-01,-2.4,114
2010-01-02,-0.1,116
2010-01-03,-0.5,113
2010-01-04,-0.5,111
2010-01-05,-1.1,111
2010-01-08,-0.6,NA
2010-01-09,1.1,108
2010-01-10,1,102
2010-01-11,0.9,97
2010-01-12,0.9,94
2010-01-13,0.1,90
2010-01-14,-0.5,89
2010-01-15,-1,105
2010-01-16,-5.5,108
2010-01-17,-3,108
2010-01-18,-1.1,114
2010-01-19,-1.7,119
2010-01-20,-0.6,118
2010-01-21,-0.4,118
2010-01-22,-2.1,117
2010-01-23,-4.4,116
2010-01-24,-4.4,116
2010-01-25,-2.5,124
2010-01-26,-1.2,129
2010-01-27,-3.3,126
2010-01-28,-1.4,126
2010-01-29,-0.5,126
2010-01-30,0.6,124
2010-01-31,0.3,121
2010-02-01,-0.2,118
2010-02-02,-0.9,118
2010-02-03,-1.5,118
2010-02-04,-0.8,117
2010-02-05,-0.9,117
2010-02-06,-2.7,118
2010-02-07,0.1,117
2010-02-08,-1.4,116
2010-02-09,-4.4,116
2010-02-10,-1.1,115
2010-02-11,-0.3,118
2010-02-12,0,121
2010-02-13,-0.1,NA
2010-02-14,-1.7,119
2010-02-15,-3.7,116
2010-02-16,-0.2,119
2010-02-17,-2.9,119
2010-02-18,-3.9,118
2010-02-19,-2.1,116
2010-02-20,-1.6,115
2010-02-21,-3,114
2010-02-22,-3.2,NA
2010-02-23,-1.8,NA
2010-02-24,-0.5,115
2010-02-25,-0.7,114
2010-02-26,-0.6,111
2010-02-27,-0.1,116
2010-02-28,-0.5,115
2010-03-01,-0.4,112
2010-03-02,0.4,112
2010-03-03,-0.9,110
2010-03-04,-1.1,109
2010-03-05,-1.9,107
2010-03-06,-2.7,105
2010-03-07,-1.6,104
2010-03-08,-7.3,105
2010-03-09,-9.2,106
2010-03-10,-3.9,107
2010-03-11,-2.3,123
2010-03-12,-3.4,141
2010-03-13,-4.6,143
2010-03-14,-2.9,137
2010-03-15,-0.2,147
2010-03-16,0.8,133
2010-03-17,-2.6,127
2010-03-18,-5.7,125
2010-03-19,-4.2,125
2010-03-20,-2.8,123
2010-03-21,0.6,121
2010-03-22,0.3,118
2010-03-23,-0.4,115
2010-03-24,-0.8,113
2010-03-25,0.8,111
2010-03-26,0.7,108
2010-03-27,-0.1,104
2010-03-28,0,102
2010-03-29,-1,117
2010-03-30,-1.7,139
2010-03-31,-2.3,135
2010-04-01,-2.1,123
2010-04-02,-1.4,135
2010-04-03,-2.1,172
2010-04-04,-3.3,157
2010-04-05,-0.4,146
2010-04-06,-0.8,143
2010-04-07,-0.6,NA
2010-04-08,-2.5,168
2010-04-09,-6.7,166
2010-04-10,-8,158
2010-04-11,-4.3,156
2010-04-12,-1.7,151
2010-04-13,0.4,144
2010-04-14,0.2,140
2010-04-15,0.8,134
2010-04-16,-0.2,129
2010-04-17,1.4,126
2010-04-18,1.4,122
2010-04-19,1.3,117
2010-04-20,2,113
2010-04-21,1.4,109
2010-04-22,-0.8,106
2010-04-23,-2.9,102
2010-04-24,0,103
2010-04-25,-0.5,100
2010-04-26,-0.3,96
2010-04-27,0.7,97
2010-04-28,0.9,93
2010-04-29,0.6,89
2010-04-30,1,81
2010-05-01,0.2,78
2010-05-02,-0.9,72
2010-05-03,-0.9,86
2010-05-04,-2,79
2010-05-05,-1,73
2010-05-06,-2.5,71
2010-05-07,-2.3,69
2010-05-08,-0.9,63
2010-05-09,-1.1,59
2010-05-10,0.9,55
2010-05-11,0.7,NA
2010-05-12,1.1,NA
2010-05-13,0.7,NA
2010-05-14,1.5,NA
2010-05-15,1.8,NA
2010-05-16,2.8,NA
2010-05-17,2.9,NA
2010-05-18,3.3,NA
2010-05-19,2.6,NA
2010-05-20,0.8,NA
2010-05-21,-2.1,NA
2010-05-22,-1.2,NA
2010-05-23,2.4,NA
2010-05-24,1,NA
2010-05-25,2.3,NA
2010-05-26,2.2,NA
2010-05-27,2.2,NA
2010-05-28,3.4,NA
2010-05-30,3.1,NA
2010-05-31,3,NA
2010-06-01,3.9,NA
2010-06-02,3.3,NA
2010-06-03,2.4,NA
2010-06-04,2,NA
2010-06-05,3.2,NA
2010-06-06,2.2,NA
2010-06-07,3.3,NA
2010-06-08,2.4,NA
2010-06-09,4.7,NA
2010-06-10,4.7,NA
2010-06-11,4.6,NA
2010-06-12,4.5,NA
2010-06-13,6,NA
2010-06-14,2.7,NA
2010-06-15,3.4,NA
2010-06-16,1.8,NA
2010-06-17,6.3,NA
2010-06-18,5,NA
2010-06-19,4.5,NA
2010-06-20,5.4,NA
2010-06-21,6.1,NA
2010-06-22,5.8,NA
2010-06-23,6,NA
2010-06-24,7.8,NA
2010-06-25,6.7,NA
2010-06-26,6.7,NA
2010-06-27,6.8,NA
2010-06-28,5.9,NA
2010-06-30,3.7,NA
2010-07-01,4.6,NA
2010-07-02,5.3,NA
2010-07-03,5.2,NA
2010-07-04,7.2,NA
2010-07-05,6.9,NA
2010-07-06,5.4,NA
2010-07-07,9.3,NA
2010-07-08,10.7,NA
2010-07-09,10.4,NA
2010-07-10,9.8,NA
2010-07-11,10,NA
2010-07-12,6.7,NA
2010-07-13,4,NA
2010-07-14,5.2,NA
2010-07-15,7.5,NA
2010-07-16,8.9,NA
2010-07-17,7.1,NA
2010-07-18,7.3,NA
2010-07-19,6.8,NA
2010-07-20,9.3,NA
2010-07-21,9.7,NA
2010-07-22,11.2,NA
2010-07-23,10.6,NA
2010-07-24,9.7,NA
2010-07-25,10,NA
2010-07-26,10.8,NA
2010-07-27,12.2,NA
2010-07-28,11.2,NA
2010-07-29,9.4,NA
2010-07-30,9.8,NA
2010-07-31,10.5,NA
2010-08-01,9.9,NA
2010-08-02,11.9,NA
2010-08-03,11.3,NA
