FIRE_NT_ID,OBJECTID,VERSION_NO,TRACK_DATE,SOURCE,LOAD_DATE,FIRE_YEAR,FIRE_NT_NM,FIRE_NT_LK,FIRE_STAT,SHAPE,SIZE_HA,FIRE_NO,FCODE,X,Y
,182989,2018062101,20180621000000,Non-corrected ground GPS                          ,20180625000000,2018,,,Not Active,,3.0,V90587,JA70003000,,
,182990,2018071803,20180718000000,Non-corrected ground GPS                          ,20180721000000,2018,,,Not Active,,19.2,VA1145,JA70003000,,
,182991,2018080802,20180808000000,Non-corrected airborne GPS                        ,20180808000000,2018,,,Active,,13847.6,VA1787,JA70003000,,
,182992,2018080801,20180808000000,Non-corrected ground GPS                          ,20180808000000,2018,,,Not Active,,40.7,VA1927,JA70003000,,
,182993,2018080801,20180808000000,Non-corrected airborne GPS                        ,20180808000000,2018,,,Active,,1974.3,VA1964,JA70003000,,
,182994,2018080801,20180808000000,Non-corrected airborne GPS                        ,20180808000000,2018,,,Active,,600.4,VA1968,JA70003000,,
,182995,2018062401,20180624000000,Non-corrected airborne GPS                        ,20180706000000,2018,,,Not Active,,96.2,R10582,JA70003000,,
,182996,2017062101,20170621000000,Non-corrected ground GPS                          ,20180713000000,2018,,,Not Active,,3.3,R10596,JA70003000,,
,182997,2018071101,20180711000000,Non-corrected ground GPS                          ,20180713000000,2018,,,Not Active,,74.1,R10644,JA70003000,,
,182998,2018062601,20180626000000,Non-corrected ground GPS                          ,20180711000000,2018,,,Not Active,,15.5,R10649,JA70003000,,
,182999,2018062201,20180622000000,Non-corrected airborne GPS                        ,20180624000000,2018,,,Not Active,,134.8,R10672,JA70003000,,
712,183000,2018080401,20180804000000,Non-corrected airborne GPS                        ,20180804000000,2018,Shovel Lake,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=712,Fire of Note,,5392.5,R11498,JA70003000,,
718,183001,2018080701,20180807000000,Non-corrected airborne GPS                        ,20180807000000,2018,Verdun Mountain,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=718,Fire of Note,,117.9,R11796,JA70003000,,
720,183002,2018080703,20180807000000,Non-corrected airborne GPS                        ,20180808000000,2018,Island Lake Wildfire ,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=720,Fire of Note,,6172.8,R11921,JA70003000,,
,183003,2018080801,20180808000000,Non-corrected airborne GPS                        ,20180808000000,2018,,,Active,,3.7,R12068,JA70003000,,
,183004,2018080801,20180808000000,Non-corrected airborne GPS                        ,20180808000000,2018,,,Active,,579.4,R12270,JA70003000,,
,183005,2018080801,20180808000000,Non-corrected airborne GPS                        ,20180808000000,2018,,,New,,315.4,R12315,JA70003000,,
716,183006,2018080701,20180807000000,Non-corrected airborne GPS                        ,20180807000000,2018,Nadina Lake,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=716,Fire of Note,,5698.3,R21721,JA70003000,,
,183007,2018080401,20180804000000,Non-corrected airborne GPS                        ,20180805000000,2018,,,Not Active,,7.5,R21838,JA70003000,,
733,183008,2018080801,20180808000000,Non-corrected airborne GPS                        ,20180808000000,2018,Gilmore Lake Wildfire,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=733,Fire of Note,,165.8,R22298,JA70003000,,
,183009,2018042401,20180429000000,Non-corrected ground GPS                          ,20180504000000,2018,,,Not Active,,12.6,R40061,JA70003000,,
,183010,2018050901,20180509000000,Non-corrected ground GPS                          ,20180530000000,2018,,,Not Active,,75.4,R40130,JA70003000,,
,183011,2018051701,20180517000000,Non-corrected ground GPS                          ,20180522000000,2018,,,Not Active,,2.6,R40214,JA70003000,,
,183012,2018051801,20180518000000,Non-corrected ground GPS                          ,20180704000000,2018,,,Not Active,,1.3,R40223,JA70003000,,
,183013,2018071501,20180715000000,Non-corrected airborne GPS                        ,20180720000000,2018,,,Not Active,,12.2,R41154,JA70003000,,
,183014,2018080401,20180804000000,Non-corrected airborne GPS                        ,20180804000000,2018,,,Active,,183.5,R41913,JA70003000,,
,183015,2018080501,20180805000000,Non-corrected ground GPS                          ,20180806000000,2018,,,Active,,43.0,R41914,JA70003000,,
,183016,2018080201,20180802000000,Non-corrected ground GPS                          ,20180803000000,2018,,,Active,,13.9,R41980,JA70003000,,
,183017,2018080501,20180805000000,Non-corrected airborne GPS                        ,20180808000000,2018,,,Active,,535.0,R51479,JA70003000,,
,183018,2018080701,20180807000000,Non-corrected airborne GPS                        ,20180808000000,2018,,,Active,,22.1,R51572,JA70003000,,
681,183019,2018051301,20180513000000,Non-corrected ground GPS                          ,20180513000000,2018,Muddy Lake Road,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=681,Not Active,,612.2,R90110,JA70003000,,
,183020,2018080701,20180807000000,Hand sketch of any type                           ,20180807000000,2018,,,Active,,2175.7,R91650,JA70003000,,
,183021,2018080701,20180807000000,Derived from satellite imagery                    ,20180808000000,2018,,,Active,,330.8,R91655,JA70003000,,
717,183022,2018052801,20180528000000,Non-corrected airborne GPS                        ,20180802000000,2018,Elbow Lake,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=717,Fire of Note,,136.9,R91656,JA70003000,,
,183023,2018080701,20180807000000,Hand sketch of any type                           ,20180807000000,2018,,,Active,,2941.2,R91861,JA70003000,,
719,183024,2018080801,20180808000000,Non-corrected airborne GPS                        ,20180809000000,2018,Alkali Lake,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=719,Fire of Note,,28789.2,R91947,JA70003000,,
729,183025,2018080702,20180807000000,Hand sketch of any type                           ,20180807000000,2018,South Stikine River,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=729,Fire of Note,,19420.0,R92030,JA70003000,,
,183026,2018042801,20180428000000,Hand sketch of any type                           ,20180507000000,2018,,,Not Active,,5.3,G10062,JA70003000,,
,183027,2018042801,20180428000000,Hand sketch of any type                           ,20180507000000,2018,,,Not Active,,7.6,G10065,JA70003000,,
,183028,2018062001,20180620000000,Non-corrected ground GPS                          ,20180704000000,2018,,,Not Active,,1.2,G10600,JA70003000,,
,183029,2018072301,20180723000000,Non-corrected airborne GPS                        ,20180723000000,2018,,,Not Active,,8.3,G10607,JA70003000,,
695,183030,2018063001,20180630000000,Non-corrected airborne GPS                        ,20180630000000,2018,Comstock Lake,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=695,Not Active,,2245.2,G10696,JA70003000,,
,183031,2018071501,20180715000000,Non-corrected ground GPS                          ,20180723000000,2018,,,Not Active,,7.4,G11131,JA70003000,,
,183032,2018080401,20180804000000,Non-corrected ground GPS                          ,20180805000000,2018,,,Active,,76.6,G11893,JA70003000,,
,183033,2018080401,20180804000000,Non-corrected ground GPS                          ,20180805000000,2018,,,Not Active,,1.9,G11907,JA70003000,,
,183034,2018080401,20180804000000,Non-corrected ground GPS                          ,20180805000000,2018,,,Active,,20.2,G11970,JA70003000,,
,183035,2018072201,20180722000000,Non-corrected airborne GPS                        ,20180722000000,2018,,,Active,,1.4,G30769,JA70003000,,
,183036,2018072201,20180722000000,Non-corrected airborne GPS                        ,20180722000000,2018,,,Active,,32.3,G30777,JA70003000,,
,183037,2018071801,20180718000000,Non-corrected airborne GPS                        ,20180719000000,2018,,,Active,,33.9,G31245,JA70003000,,
706,183038,2018072001,20180720000000,Corrected ground GPS                              ,20180720000000,2018,West Cranberry Creek,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=706,Not Active,,44.1,G31251,JA70003000,,
,183039,2018072201,20180722000000,Non-corrected airborne GPS                        ,20180722000000,2018,,,Active,,3.7,G31266,JA70003000,,
,183040,2018073101,20180731000000,Non-corrected airborne GPS                        ,20180731000000,2018,,,Active,,82.4,G31313,JA70003000,,
,182971,2018062001,20180620000000,Non-corrected ground GPS                          ,20180628000000,2018,,,Not Active,,6.4,V10073,JA70003000,,
,182972,2018051701,20180517000000,Non-corrected ground GPS                          ,20180608000000,2018,,,Not Active,,17.6,V10205,JA70003000,,
,182973,2018060601,20180606000000,Non-corrected ground GPS                          ,20180618000000,2018,,,Not Active,,37.2,V10416,JA70003000,,
,182974,2018062501,20180625000000,Non-corrected ground GPS                          ,20180627000000,2018,,,Not Active,,17.9,V10901,JA70003000,,
,182975,2018062601,20180626000000,Non-corrected ground GPS                          ,20180628000000,2018,,,Not Active,,1.3,V10920,JA70003000,,
,182976,2018080701,20180807000000,Hand sketch of any type                           ,20180808000000,2018,,,Active,,74.0,V12167,JA70003000,,
,182977,2018050601,20180506000000,Non-corrected ground GPS                          ,20180611000000,2018,,,Not Active,,8.4,V30103,JA70003000,,
,182978,2018051801,20180518000000,Non-corrected ground GPS                          ,20180620000000,2018,,,Not Active,,1.4,V30227,JA70003000,,
,182979,2018060801,20180608000000,Non-corrected ground GPS                          ,20180613000000,2018,,,Not Active,,1.5,V30495,JA70003000,,
,182980,2018062101,20180621000000,Non-corrected ground GPS                          ,20180625000000,2018,,,Not Active,,1.1,V30543,JA70003000,,
,182981,2018062101,20180621000000,Non-corrected ground GPS                          ,20180703000000,2018,,,Not Active,,2.0,V30666,JA70003000,,
,182982,2018060101,20180601000000,Non-corrected ground GPS                          ,20180612000000,2018,,,Not Active,,8.6,V50433,JA70003000,,
,182983,2018061701,20180617000000,Non-corrected ground GPS                          ,20180711000000,2018,,,Not Active,,1.9,V60532,JA70003000,,
,182984,2018070101,20180701000000,Non-corrected ground GPS                          ,20180717000000,2018,,,Not Active,,14.5,V60979,JA70003000,,
,182985,2018070501,20180705000000,Non-corrected airborne GPS                        ,20180705000000,2018,,,Not Active,,83.0,V60998,JA70003000,,
730,182986,2018080801,20180808000000,Non-corrected airborne GPS                        ,20180808000000,2018,Nanaimo Lakes,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=730,Fire of Note,,179.4,V62214,JA70003000,,
,182987,2018052501,20180525000000,Non-corrected ground GPS                          ,20180607000000,2018,,,Not Active,,33.5,V80353,JA70003000,,
,182988,2018050801,20180508000000,Non-corrected ground GPS                          ,20180607000000,2018,,,Not Active,,0.9,V90116,JA70003000,,
,183061,2018071701,20180717000000,Non-corrected ground GPS                          ,20180717000000,2018,,,Active,,74.8,G51222,JA70003000,,
,183062,2018073001,20180730000000,Non-corrected ground GPS                          ,20180801000000,2018,,,Not Active,,0.4,G51538,JA70003000,,
738,183063,2018080601,20180806000000,Non-corrected airborne GPS                        ,20180807000000,2018,North of Tezzeron Lake,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=738,Fire of Note,,2024.8,G51632,JA70003000,,
721,183064,2018080601,20180806000000,Non-corrected airborne GPS                        ,20180807000000,2018,Purvis Lake,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=721,Fire of Note,,1457.5,G51634,JA70003000,,
,183065,2018080601,20180806000000,Non-corrected airborne GPS                        ,20180807000000,2018,,,Active,,67.3,G51636,JA70003000,,
,183066,2018080601,20180806000000,Non-corrected airborne GPS                        ,20180807000000,2018,,,Active,,5.6,G51638,JA70003000,,
,183067,2018080401,20180804000000,Non-corrected ground GPS                          ,20180805000000,2018,,,Not Active,,33.6,G51641,JA70003000,,
,183068,2018080401,20180804000000,Non-corrected airborne GPS                        ,20180805000000,2018,,,Active,,39.7,G51653,JA70003000,,
,183069,2018080601,20180806000000,Non-corrected ground GPS                          ,20180807000000,2018,,,Active,,183.8,G51928,JA70003000,,
,183070,2018051101,20180511000000,Non-corrected ground GPS                          ,20180517000000,2018,,,Not Active,,8.8,G60140,JA70003000,,
,183391,2018051801,20180518000000,Non-corrected ground GPS                          ,20180531000000,2018,,,Not Active,,5.5,G60215,JA70003000,,
,183392,2018052501,20180525000000,Non-corrected ground GPS                          ,20180705000000,2018,,,Not Active,,15.5,G60273,JA70003000,,
,183393,2018052601,20180526000000,Non-corrected ground GPS                          ,20180529000000,2018,,,Not Active,,2.2,G60391,JA70003000,,
,183394,2018061801,20180618000000,Non-corrected airborne GPS                        ,20180619000000,2018,,,Not Active,,46.5,G60535,JA70003000,,
,183395,2018061901,20180619000000,Non-corrected ground GPS                          ,20180621000000,2018,,,Not Active,,16.9,G60536,JA70003000,,
,183396,2018062101,20180621000000,Non-corrected ground GPS                          ,20180625000000,2018,,,Not Active,,1.5,G60580,JA70003000,,
,183397,2018072101,20180721000000,Non-corrected ground GPS                          ,20180724000000,2018,,,Not Active,,4.7,G60732,JA70003000,,
,183398,2018042901,20180429000000,Non-corrected ground GPS                          ,20180430000000,2018,,,Not Active,,1.3,G70067,JA70003000,,
,183399,2018050301,20180503000000,Hand sketch of any type                           ,20180530000000,2018,,,Not Active,,28.7,G70091,JA70003000,,
713,183041,2018073101,20180731000000,Non-corrected airborne GPS                        ,20180731000000,2018,McKirdy Mtn,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=713,Active,,43.3,G31635,JA70003000,,
,183042,2018080301,20180803000000,Non-corrected airborne GPS                        ,20180803000000,2018,,,Active,,41.5,G31718,JA70003000,,
,183043,2018042701,20180427000000,Non-corrected ground GPS                          ,20180504000000,2018,,,Not Active,,2.7,G40053,JA70003000,,
,183044,2018050801,20180508000000,Non-corrected ground GPS                          ,20180511000000,2018,,,Not Active,,2.7,G40133,JA70003000,,
,183045,2018052101,20180521000000,Non-corrected ground GPS                          ,20180531000000,2018,,,Not Active,,254.7,G40243,JA70003000,,
,183046,2018062101,20180621000000,Non-corrected ground GPS                          ,20180622000000,2018,,,Not Active,,1.4,G40603,JA70003000,,
691,183047,2018062401,20180624000000,Corrected ground GPS                              ,20180624000000,2018,Foster Lake,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=691,Not Active,,327.3,G40639,JA70003000,,
,183048,2018062501,20180625000000,Non-corrected ground GPS                          ,20180626000000,2018,,,Not Active,,121.5,G40670,JA70003000,,
,183049,2018062101,20180621000000,Non-corrected ground GPS                          ,20180626000000,2018,,,Not Active,,1.5,G40676,JA70003000,,
,183050,2018070201,20180702000000,Non-corrected airborne GPS                        ,20180702000000,2018,,,Not Active,,42.9,G40886,JA70003000,,
697,183051,2018072101,20180721000000,Non-corrected airborne GPS                        ,20180723000000,2018,Dog Creek Trail,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=697,Active,,373.1,G41250,JA70003000,,
714,183052,2018080701,20180807000000,Non-corrected airborne GPS                        ,20180807000000,2018,Chutanli Lake,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=714,Fire of Note,,2862.7,G41607,JA70003000,,
,183053,2018073101,20180731000000,Non-corrected ground GPS                          ,20180803000000,2018,,,Not Active,,1.4,G41610,JA70003000,,
,183054,2018080701,20180807000000,Non-corrected airborne GPS                        ,20180807000000,2018,,,Active,,5.9,G42277,JA70003000,,
,183055,2018050701,20180507000000,Non-corrected ground GPS                          ,20180604000000,2018,,,Not Active,,1.4,G50118,JA70003000,,
,183056,2018062101,20180621000000,Non-corrected ground GPS                          ,20180704000000,2018,,,Not Active,,8.1,G50574,JA70003000,,
,183057,2018062101,20180621000000,Non-corrected airborne GPS                        ,20180622000000,2018,,,Not Active,,3.3,G50588,JA70003000,,
692,183058,2018062501,20180625000000,Non-corrected ground GPS                          ,20180627000000,2018,Kloch Lake,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=692,Not Active,,1059.8,G50614,JA70003000,,
,183059,2018062501,20180625000000,Non-corrected airborne GPS                        ,20180625000000,2018,,,Not Active,,44.2,G50684,JA70003000,,
,183060,2018062501,20180625000000,Non-corrected ground GPS                          ,20180625000000,2018,,,Not Active,,26.5,G50693,JA70003000,,
,183400,2018050602,20180506000000,Non-corrected ground GPS                          ,20180530000000,2018,,,Not Active,,15.4,G70111,JA70003000,,
,183401,2018050801,20180508000000,Non-corrected ground GPS                          ,20180510000000,2018,,,Not Active,,1.3,G70134,JA70003000,,
,183402,2018051801,20180518000000,Non-corrected ground GPS                          ,20180529000000,2018,,,Not Active,,62.0,G70157,JA70003000,,
,183403,2018051301,20180513000000,Non-corrected ground GPS                          ,20180515000000,2018,,,Not Active,,26.9,G70165,JA70003000,,
,183404,2018051201,20180513000000,Ozi,20180513000000,2018,,,Not Active,,2.3,G70166,JA70003000,,
,183405,2018051601,20180516000000,Non-corrected ground GPS                          ,20180517000000,2018,,,Not Active,,1.0,G70211,JA70003000,,
,183406,2018062201,20180622000000,Corrected ground GPS                              ,20180624000000,2018,,,Not Active,,36.3,G70590,JA70003000,,
,183432,2018051101,20180512000000,Ozi,20180512000000,2018,,,Not Active,,5.6,G90152,JA70003000,,
,183433,2018060701,20180607000000,Non-corrected airborne GPS                        ,20180611000000,2018,,,Not Active,,9.5,G90288,JA70003000,,
,183434,2018052301,20180523000000,Non-corrected airborne GPS                        ,20180523000000,2018,,,Not Active,,35.1,G90291,JA70003000,,
,183435,2018062201,20180622000000,Non-corrected airborne GPS                        ,20180622000000,2018,,,Active,,542.7,G90301,JA70003000,,
685,183436,2018053101,20180531000000,Digitized other                                   ,20180605000000,2018,3 Km SE of Muskwa,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=685,Not Active,,4781.1,G90305,JA70003000,,
,183437,2018052301,20180523000000,Non-corrected ground GPS                          ,20180523000000,2018,,,Not Active,,16.4,G90350,JA70003000,,
,183438,2018062201,20180622000000,Non-corrected airborne GPS                        ,20180622000000,2018,,,Active,,261.6,G90358,JA70003000,,
,183439,2018052601,20180526000000,Non-corrected ground GPS                          ,20180531000000,2018,,,Not Active,,14.9,G90366,JA70003000,,
,183440,2018071301,20180713000000,Non-corrected airborne GPS                        ,20180713000000,2018,,,Not Active,,3.7,G90485,JA70003000,,
,183441,2018060501,20180605000000,Hand sketch of any type                           ,20180619000000,2018,,,Not Active,,13.3,G90486,JA70003000,,
,183442,2018062001,20180620000000,Non-corrected ground GPS                          ,20180704000000,2018,,,Not Active,,69.6,G90534,JA70003000,,
,183443,2018062401,20180624000000,Non-corrected airborne GPS                        ,20180624000000,2018,,,Active,,1212.9,G90544,JA70003000,,
,183444,2018062401,20180624000000,Non-corrected airborne GPS                        ,20180624000000,2018,,,Not Active,,73.7,G90559,JA70003000,,
,183445,2018072801,20180728000000,Ozi,20180728000000,2018,,,Active,,3604.3,G90763,JA70003000,,
,183407,2018062401,20180624000000,Non-corrected ground GPS                          ,20180701000000,2018,,,Not Active,,1.5,G70749,JA70003000,,
,183408,2018062401,20180705000000,Ozi,20180705000000,2018,,,Not Active,,14.8,G70868,JA70003000,,
,183409,2018050101,20180501000000,Hand sketch of any type                           ,20180723000000,2018,,,Not Active,,1.4,G80087,JA70003000,,
,183410,2018050601,20180506000000,Hand sketch of any type                           ,20180723000000,2018,,,Not Active,,5.5,G80107,JA70003000,,
,183411,2018050901,20180509000000,Non-corrected ground GPS                          ,20180514000000,2018,,,Not Active,,2.8,G80142,JA70003000,,
,183412,2018041101,20180411000000,Non-corrected ground GPS                          ,20180604000000,2018,,,Not Active,,2.7,G80156,JA70003000,,
,183413,2018051201,20180512000000,Non-corrected ground GPS                          ,20180604000000,2018,,,Not Active,,3.9,G80161,JA70003000,,
,183414,2018052601,20180514000000,Non-corrected ground GPS                          ,20180529000000,2018,,,Not Active,,1.9,G80196,JA70003000,,
686,183415,2018052501,20180525000000,Non-corrected airborne GPS                        ,20180528000000,2018,Milligan Hills,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=686,Not Active,,585.8,G80294,JA70003000,,
,183416,2018041101,20180411000000,Non-corrected ground GPS                          ,20180605000000,2018,,,Not Active,,10.1,G80309,JA70003000,,
684,183417,2018052401,20180524000000,Non-corrected airborne GPS                        ,20180525000000,2018,Kahta Creek,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=684,Not Active,,1577.0,G80337,JA70003000,,
687,183418,2018060402,20180604000000,Digitized other                                   ,20180604000000,2018,Tommy Lakes,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=687,Not Active,,21795.2,G80340,JA70003000,,
688,183419,2018052401,20180524000000,Non-corrected airborne GPS                        ,20180525000000,2018,Tommy Lakes Road,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=688,Not Active,,1703.2,G80341,JA70003000,,
,183420,2018062301,20180623000000,Non-corrected airborne GPS                        ,20180624000000,2018,,,Not Active,,23.9,G80677,JA70003000,,
,183421,2018062301,20180623000000,Non-corrected airborne GPS                        ,20180624000000,2018,,,Not Active,,55.9,G80719,JA70003000,,
,183422,2018062201,20180622000000,Non-corrected ground GPS                          ,20180626000000,2018,,,Not Active,,35.7,G80723,JA70003000,,
,183423,2018062201,20180622000000,Non-corrected ground GPS                          ,20180624000000,2018,,,Not Active,,25.2,G80729,JA70003000,,
,183424,2018062401,20180624000000,Non-corrected ground GPS                          ,20180625000000,2018,,,Not Active,,5.3,G80787,JA70003000,,
,183425,2018062401,20180624000000,Hand sketch of any type                           ,20180626000000,2018,,,Not Active,,4.8,G80788,JA70003000,,
,183426,2018062301,20180623000000,Non-corrected airborne GPS                        ,20180624000000,2018,,,Not Active,,21.2,G80799,JA70003000,,
,183427,2018062902,20180629000000,Non-corrected ground GPS                          ,20180706000000,2018,,,Not Active,,318.9,G80883,JA70003000,,
,183428,2018062901,20180629000000,Non-corrected airborne GPS                        ,20180705000000,2018,,,Not Active,,100.2,G80912,JA70003000,,
,183429,2018071001,20180710000000,Non-corrected airborne GPS                        ,20180716000000,2018,,,Not Active,,339.6,G80950,JA70003000,,
,183430,2018071101,20180711000000,Non-corrected ground GPS                          ,20180713000000,2018,,,Not Active,,1.1,G81110,JA70003000,,
,183431,2018050901,20180509000000,Digitized other                                   ,20180510000000,2018,,,Not Active,,418.2,G90138,JA70003000,,
,183466,2018040501,20180405000000,Non-corrected ground GPS                          ,20180406000000,2018,,,Not Active,,141.2,K20004,JA70003000,,
,183467,2018051501,20180515000000,Non-corrected ground GPS                          ,20180515000000,2018,,,Not Active,,1.9,K20197,JA70003000,,
,183468,2018051701,20180517000000,Non-corrected ground GPS                          ,20180518000000,2018,,,Not Active,,162.3,K20203,JA70003000,,
683,183469,2018060101,20180601000000,Non-corrected airborne GPS                        ,20180601000000,2018,Allie Lake,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=683,Not Active,,2464.3,K20351,JA70003000,,
690,183470,2018062101,20180621000000,Non-corrected ground GPS                          ,20180730000000,2018,Batchelor Heights,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=690,Not Active,,24.5,K20784,JA70003000,,
,183471,2018070701,20180707000000,Digitized from image                              ,20180728000000,2018,,,Not Active,,2.3,K21050,JA70003000,,
696,183472,2018071402,20180714000000,Non-corrected airborne GPS                        ,20180715000000,2018,East Shuswap Road,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=696,Not Active,,549.0,K21128,JA70003000,,
,183473,2018080601,20180806000000,Non-corrected ground GPS                          ,20180806000000,2018,,,Active,,37.4,K21668,JA70003000,,
,183474,2018042601,20180426000000,Non-corrected ground GPS                          ,20180501000000,2018,,,Not Active,,8.0,K40045,JA70003000,,
,183475,2018061201,20180612000000,Non-corrected ground GPS                          ,20180612000000,2018,,,Not Active,,2.1,K40117,JA70003000,,
,183476,2018052501,20180525000000,Non-corrected ground GPS                          ,20180608000000,2018,,,Not Active,,3.5,K40342,JA70003000,,
722,183477,2018080301,20180803000000,Hand sketch of any type                           ,20180803000000,2018,Sugar Mountain,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=722,Fire of Note,,167.0,K41791,JA70003000,,
728,183478,2018080501,20180805000000,Hand sketch of any type                           ,20180805000000,2018,Harris Creek FSR,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=728,Fire of Note,,259.3,K41800,JA70003000,,
,183479,2018080301,20180803000000,Hand sketch of any type                           ,20180803000000,2018,,,Active,,15.2,K42022,JA70003000,,
,183480,2018050901,20180509000000,Non-corrected ground GPS                          ,20180605000000,2018,,,Not Active,,3.0,K50007,JA70003000,,
,183481,2018060501,20180605000000,Hand sketch of any type                           ,20180605000000,2018,,,Not Active,,14.9,K50022,JA70003000,,
,183482,2018060501,20180605000000,Hand sketch of any type                           ,20180605000000,2018,,,Not Active,,5.6,K50406,JA70003000,,
,183483,2018052901,20180529000000,Non-corrected ground GPS                          ,20180605000000,2018,,,Not Active,,3.7,K50436,JA70003000,,
,183484,2018061801,20180618000000,Hand sketch of any type                           ,20180705000000,2018,,,Not Active,,11.0,K50555,JA70003000,,
,183485,2018072201,20180722000000,Non-corrected ground GPS                          ,20180706000000,2018,,,Not Active,,1.8,K50724,JA70003000,,
710,183486,2018080801,20180808000000,Non-corrected airborne GPS                        ,20180808000000,2018,Snowy Mountain,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=710,Fire of Note,,12218.5,K51238,JA70003000,,
704,183487,2018072801,20180728000000,Non-corrected airborne GPS                        ,20180728000000,2018,Goode,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=704,Not Active,,1370.3,K51242,JA70003000,,
698,183488,2018072901,20180729000000,Non-corrected airborne GPS                        ,20180729000000,2018,Mount Conkle,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=698,Active,,91.8,K51243,JA70003000,,
,183489,2018072201,20180722000000,Non-corrected airborne GPS                        ,20180722000000,2018,,,Not Active,,23.1,K51247,JA70003000,,
705,183490,2018072201,20180722000000,Non-corrected airborne GPS                        ,20180722000000,2018,Law Creek,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=705,Not Active,,15.4,K51248,JA70003000,,
703,183491,2018072701,20180727000000,Derived from satellite imagery                    ,20180729000000,2018,Glenfir Road,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=703,Not Active,,99.8,K51256,JA70003000,,
702,183492,2018072301,20180723000000,Non-corrected ground GPS                          ,20180723000000,2018,Mount Eneas,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=702,Not Active,,1789.9,K51264,JA70003000,,
,183446,2018073101,20180731000000,Ozi,20180731000000,2018,,,Active,,136.7,G90764,JA70003000,,
,183447,2018071401,20180714000000,Non-corrected airborne GPS                        ,20180716000000,2018,,,Not Active,,10.9,G90779,JA70003000,,
,183448,2018062401,20180624000000,Non-corrected airborne GPS                        ,20180624000000,2018,,,Not Active,,163.2,G90793,JA70003000,,
,183449,2018062401,20180624000000,Non-corrected airborne GPS                        ,20180624000000,2018,,,Not Active,,36.3,G90830,JA70003000,,
