Institution,Campus_District,Institution_type,Ec_Dev_Region,City,Address,Postal_Code,Latitude,Longitude,Dept_Email,Dept_Phone,Link
Vancouver Island University (VIU),Nanaimo Campus,Post-Secondary,Vancouver Island,Nanaimo,"Building 205
900 Fifth Street",V9R 5S5,49.158552,-123.969023,acp@viu.ca,250 753 3245  ext. 2560,https://www.viu.ca/programs/acp/high-school-equivalency-abe
Vancouver Island University (VIU),Cowichan Campus,Post-Secondary,Vancouver Island,Duncan,2011 University Way,V9L 0C7,48.783567,-123.706987,acp@viu.ca,250 753 3245  ext. 2560,https://www.viu.ca/programs/acp/high-school-equivalency-abe
Vancouver Island University (VIU),Parksville Campus,Post-Secondary,Vancouver Island,Parksville,100 Jensen Avenue East,V9P 2G3,49.318158,-124.311857,acp@viu.ca,250 753 3245  ext. 2560,https://www.viu.ca/programs/acp/high-school-equivalency-abe
Capilano University ,North Vancouver Campus,Post-Secondary,Metro Vancouver Regional District (MVRD),North Vancouver,2055 Purcell Way,V7J 3H5,49.318249,-123.019446,upgrading@capilanou.ca,604.986.1911 ,https://www.capilanou.ca/abe/ 
Capilano University ,Sechelt Campus,Post-Secondary,Sunshine Coast,Sechelt,5627 Inlet Avenue,V0N 3A0,49.476057,-123.756794,upgrading@capilanou.ca,604.885.9310  ,http://www.capilanou.ca/sunshineabe/ 
Capilano University ,Mount Currie Campus,Post-Secondary,Lil'wat Nation,Mount Currie,"367 IR #10, PO Box 232, Lil'wat Nation",V0N 2K0,50.318931,-122.723212,upgrading@capilanou.ca,604.894.2300 ,http://www.tszillearningcentre.com 
University of Fraser Valley (UFV),Abbotsford Campus,Post-Secondary,Fraser Valley Regional District (FVRD),Abbotsford,"Room A224e, 
33844 King Road",V2S 7M8,49.031576,-122.286112,upgrading@ufv.ca,604-864-4674,https://www.ufv.ca/uup/programs-and-services/abe-program/abe/
University of Fraser Valley (UFV),Chilliwack CEP Campus,Post-Secondary,Fraser Valley Regional District (FVRD),Chilliwack," Room A1403, 
45190 Caen Avenue",V2R 0N3,49.100998,-121.972856,upgrading@ufv.ca,604-864-4674,https://www.ufv.ca/uup/programs-and-services/abe-program/abe/
University of Fraser Valley (UFV),Hope Centre,Post-Secondary,Fraser Valley Regional District (FVRD),Hope,"Room H113, Hope Centre
1250 7th Avenue",V0X 1L4,49.376455,-121.427017,upgrading@ufv.ca,604-864-4674,https://www.ufv.ca/uup/programs-and-services/abe-program/abe/
BC Institute of Technology (BCIT),Burnaby Campus,Post-Secondary,Fraser Valley Regional District (FVRD),Burnaby,3700 Willingdon Avenue ,V5G 3H2,49.251294,-123.002587,program_advising@bcit.ca,604-864-4674,https://www.bcit.ca/files/finaid/pdf/abesap20132014.pdf 
Douglas College ,New Westminster Campus,Post-Secondary,Metro Vancouver Regional District (MVRD),New Westminster,700 Royal Ave,V3M 5Z5,49.203855,-122.912873,advising@douglascollege.ca,604-527-5478,https://www.douglascollege.ca/programs-courses/faculties/child-family-community-studies/vocational-education-and-skills-training
Douglas College ,Coquitlam Campus,Post-Secondary,Metro Vancouver Regional District (MVRD),Coquitlam,1250 Pinetree Way,V3B 7X3,49.288189,-122.792506,advising@douglascollege.ca,604-527-5478,https://www.douglascollege.ca/programs-courses/faculties/child-family-community-studies/vocational-education-and-skills-training
College of New Caledonia (CNC),Prince George Campus,Post-Secondary,Regional District of Fraser-Fort George (RDFFG),Prince George,3330 22 Avenue,V2N 1P8,53.9046,-122.784714,recruitment@cnc.bc.ca  , 1 (800) 371-8111,http://www.cnc.bc.ca/programs-courses/academic-upgrading.htm
College of New Caledonia (CNC),Quesnel Campus,Post-Secondary,Regional District of Fraser-Fort George (RDFFG),Quesnel,100 Campus Way,V2J 7K1,52.983085,-122.470797,recruitment@cnc.bc.ca  ,1 (866) 680-7550,http://www.cnc.bc.ca/programs-courses/academic-upgrading.htm
College of New Caledonia (CNC),Lake District Campus,Post-Secondary,Regional District of Fraser-Fort George (RDFFG),Burns Lake,545 Highway 16 West Box 5000,V0J 1E0,54.232442,-125.764221,recruitment@cnc.bc.ca  ,1 (866) 692-1943,http://www.cnc.bc.ca/programs-courses/academic-upgrading.htm
College of New Caledonia (CNC),Nechako Campus - Vanderhoof,Post-Secondary,Regional District of Fraser-Fort George (RDFFG),Vanderhoof,3231 Hospital Road,V0J 3A2,54.028251,-124.010062,recruitment@cnc.bc.ca  ,250.567.3200 ,http://www.cnc.bc.ca/programs-courses/academic-upgrading.htm
College of New Caledonia (CNC),Nechako Campus - Fort St. James,Post-Secondary,Regional District of Fraser-Fort George (RDFFG),Fort St. James,179 Douglas Street,V0J 1P0,54.440843,-124.251651,recruitment@cnc.bc.ca  ,(250) 996-7019,http://www.cnc.bc.ca/programs-courses/academic-upgrading.htm
College of New Caledonia (CNC),Mackenzie Campus,Post-Secondary,Regional District of Fraser-Fort George (RDFFG),Mackenzie,"Box 2110, 540 Mackenzie Boulevard",V0J 2C0,55.340217,-123.095647,recruitment@cnc.bc.ca  ,250.997.7200 ,http://www.cnc.bc.ca/programs-courses/academic-upgrading.htm
Selkirk College,Castlegar Campus,Post-Secondary,Regional District of Central Kootenay (RDCK),Castlegar,301 Frank Beinder Way,V1N 4L3,49.311798,-117.652496,upgrading@selkirk.ca,250.354.3230,http://selkirk.ca/program/upgrading
Selkirk College,Silverking Campus,Post-Secondary,Regional District of Central Kootenay (RDCK),Nelson,2001 Silverking Rd,V1L 1C8,49.477143,-117.295000,upgrading@selkirk.ca,250.354.3230,http://selkirk.ca/program/upgrading
Selkirk College,Trail Campus,Post-Secondary,Regional District of Central Kootenay (RDCK),Trail,900 Helena Street,V1R 4S6,49.094598,-117.707021,upgrading@selkirk.ca,250.354.3230,http://selkirk.ca/program/upgrading
Selkirk College,Grand Forks Learning Centre,Post-Secondary,Regional District of Central Kootenay (RDCK),Grand Forks,"486 72nd Ave
Box 968",V0H 1H0,49.030879,-118.439723,upgrading@selkirk.ca,250.354.3230,http://selkirk.ca/program/upgrading
Selkirk College,Kaslo Learning Centre,Post-Secondary,Regional District of Central Kootenay (RDCK),Kaslo,"421 Front Street
Box 1149",V0G 1M0,49.912233,-116.905001,upgrading@selkirk.ca,250.354.3230,http://selkirk.ca/program/upgrading
Selkirk College,Naskup Learning Centre,Post-Secondary,Regional District of Central Kootenay (RDCK),Nakusp,"311 Broadway Street
Box 720",V0G 1R0,50.239357,-117.802571,upgrading@selkirk.ca,250.354.3230,http://selkirk.ca/program/upgrading
North Island College (NIC),Comox Valley Campus,Post-Secondary,Comox Valley Regional District,Courtenay,2300 Ryan Road,V9N 8N6,49.711299,-124.97156,,1-800-715-0914,"
https://www.nic.bc.ca/programs/upgrading/ 
"
North Island College (NIC),Campbell River Campus,Post-Secondary,Campbell River Regional District,Campbell River,1685 South Dogwood Street  ,V9W 8C1,49.979487,-125.24617,,1-800-715-0914,"
https://www.nic.bc.ca/programs/upgrading/ 
"
North Island College (NIC),Port Alberni Campus,Post-Secondary,Alberni-Clayoquot Regional District (ACRD),Port Alberni,3699 Roger Street  ,V9Y 8E3  ,49.256277,-124.788203,,1-800-715-0914,"
https://www.nic.bc.ca/programs/upgrading/ 
"
North Island College (NIC),Mount Waddington Regional Campus,Post-Secondary,Mount Waddington Regional District,Port Hardy,"#140 - 8950 Granville Street
Box 901",V0N 2P0,50.722003,-127.497912,,1-800-715-0914,"
https://www.nic.bc.ca/programs/upgrading/ 
"
North Island College (NIC),Ucluelet Centre,Post-Secondary,Alberni-Clayoquot Regional District (ACRD),Ucluelet,"Box 198
10 – 1636 Peninsula Road",V0R 3A0,48.94223,-125.547983,,1-800-715-0914,"
https://www.nic.bc.ca/programs/upgrading/ 
"
Langara College,Vancouver Campus,Post-Secondary,Metro Vancouver Regional District (MVRD),Vancouver,100 West 49th Avenue,V5Y 2Z6,49.224837,-123.108787,admissions@langara.ca,604.323.5511,"
https://langara.ca/admissions/index.html"
Vancouver Community College,Broadway Youth Resource Centre (for ages 15-18),Post-Secondary,Metro Vancouver Regional District (MVRD),Vancouver,#215 – 2455 Fraser Street,V5T 0E6,49.263575,-123.089707,ABEYouth@vcc.ca,604-709-5720,http://www.vcc.ca/programscourses/program-areas/academic-upgrading--high-school/adult-basic-education-abe-intermediate-program-for-youth/
Vancouver Community College,VCC Broadway Campus,Post-Secondary,Metro Vancouver Regional District (MVRD),Vancouver, 1155 East Broadway,V5T 4V5,49.263541,-123.080911,,1.866.565.7820,"
http://www.vcc.ca/programscourses/program-areas/academic-upgrading--high-school/ "
College of the Rockies (COTR),Cranbrook Campus,Post-Secondary,Regional District of East Kootenay (RDEK),Cranbrook,2700 College Way,V1C 6P7,49.518303,-115.739969,,1-877-489-2687,http://www.cotr.bc.ca/abe/
College of the Rockies (COTR),Golden Campus,Post-Secondary,Regional District of East Kootenay (RDEK),Golden,"1305 South 9th Street, PO Box 376",V0A 1H0,51.29658,-116.955676,,1-877-489-2687,http://www.cotr.bc.ca/abe/
College of the Rockies (COTR),Invermere Campus,Post-Secondary,Regional District of East Kootenay (RDEK),Invermere,RR#4 1535 14th Street,V0A 1K4,50.502382,-116.041034,,1-877-489-2687,http://www.cotr.bc.ca/abe/
College of the Rockies (COTR),Fernie Campus,Post-Secondary,Regional District of East Kootenay (RDEK),Fernie,"342 3rd Ave, PO Box 1770",V0B 1M0,49.502101,-115.064366,,1-877-489-2687,http://www.cotr.bc.ca/abe/
College of the Rockies (COTR),Creston Campus,Post-Secondary,Regional District of East Kootenay (RDEK),Creston,"301 16th Ave, PO Box 1978",V0B 1G0,49.093382,-116.507979,,1-877-489-2687,http://www.cotr.bc.ca/abe/
Northern Lights College (NLC),Chetwynd Campus,Post-Secondary,Peace River Regional District (PRRD),Chetwynd,"Box 1180, 5132 – 50th Street",V0C 1J0,55.693817,-121.629554,,1-866-463-6652,http://www.nlc.bc.ca/Programs/All-Programs-Alphabetical/Career-and-College-Preparation
Northern Lights College (NLC),Dawson Creek Campus,Post-Secondary,Peace River Regional District (PRRD),Dawson Creek,11401 – 8 Street,V1G 4G2,55.747082,-120.225476,,1-866-463-6652,http://www.nlc.bc.ca/Programs/All-Programs-Alphabetical/Career-and-College-Preparation
