Farm_Area_Size,NAICS_Farm_Type,Gross_Farm_Receipt_Category,Number_of_Farms,,
1 acre,Dairy cattle and milk production," Under $2,500",0,,
1 acre,"Beef cattle ranching and farming, including feedlots"," Under $2,500",3,,
1 acre,Hog and pig farming," Under $2,500",0,,
1 acre,Poultry and egg production," Under $2,500",30,,
1 acre,Sheep and goat farming," Under $2,500",4,,
1 acre,Other animal production," Under $2,500",30,,
1 acre,Oilseed and grain farming," Under $2,500",0,,
1 acre,Vegetable and melon farming," Under $2,500",13,,
1 acre,Fruit and tree nut farming," Under $2,500",20,,
1 acre,Mushroom production," Under $2,500",0,,
1 acre,Other food crops grown under cover," Under $2,500",2,,
1 acre,Nursery and tree production," Under $2,500",7,,
1 acre,Floriculture production," Under $2,500",4,,
1 acre,Other crop farming," Under $2,500",2,,
2 to 10 acres,Dairy cattle and milk production," Under $2,500",5,,
2 to 10 acres,"Beef cattle ranching and farming, including feedlots"," Under $2,500",42,,
2 to 10 acres,Hog and pig farming," Under $2,500",5,,
2 to 10 acres,Poultry and egg production," Under $2,500",103,,
2 to 10 acres,Sheep and goat farming," Under $2,500",59,,
2 to 10 acres,Other animal production," Under $2,500",178,,
2 to 10 acres,Oilseed and grain farming," Under $2,500",2,,
2 to 10 acres,Vegetable and melon farming," Under $2,500",82,,
2 to 10 acres,Fruit and tree nut farming," Under $2,500",225,,
2 to 10 acres,Mushroom production," Under $2,500",4,,
2 to 10 acres,Other food crops grown under cover," Under $2,500",10,,
2 to 10 acres,Nursery and tree production," Under $2,500",104,,
2 to 10 acres,Floriculture production," Under $2,500",8,,
2 to 10 acres,Other crop farming," Under $2,500",109,,
11 acres and over,Dairy cattle and milk production," Under $2,500",4,,
11 acres and over,"Beef cattle ranching and farming, including feedlots"," Under $2,500",72,,
11 acres and over,Hog and pig farming," Under $2,500",2,,
11 acres and over,Poultry and egg production," Under $2,500",21,,
11 acres and over,Sheep and goat farming," Under $2,500",31,,
11 acres and over,Other animal production," Under $2,500",247,,
11 acres and over,Oilseed and grain farming," Under $2,500",13,,
11 acres and over,Vegetable and melon farming," Under $2,500",31,,
11 acres and over,Fruit and tree nut farming," Under $2,500",85,,
11 acres and over,Mushroom production," Under $2,500",0,,
11 acres and over,Other food crops grown under cover," Under $2,500",3,,
11 acres and over,Nursery and tree production," Under $2,500",55,,
11 acres and over,Floriculture production," Under $2,500",6,,
11 acres and over,Other crop farming," Under $2,500",327,,
1 acre,Dairy cattle and milk production,"$2,500 to $4,999",1,,
1 acre,"Beef cattle ranching and farming, including feedlots","$2,500 to $4,999",0,,
1 acre,Hog and pig farming,"$2,500 to $4,999",1,,
1 acre,Poultry and egg production,"$2,500 to $4,999",10,,
1 acre,Sheep and goat farming,"$2,500 to $4,999",3,,
1 acre,Other animal production,"$2,500 to $4,999",20,,
1 acre,Oilseed and grain farming,"$2,500 to $4,999",0,,
1 acre,Vegetable and melon farming,"$2,500 to $4,999",11,,
1 acre,Fruit and tree nut farming,"$2,500 to $4,999",13,,
1 acre,Mushroom production,"$2,500 to $4,999",0,,
1 acre,Other food crops grown under cover,"$2,500 to $4,999",2,,
1 acre,Nursery and tree production,"$2,500 to $4,999",10,,
1 acre,Floriculture production,"$2,500 to $4,999",2,,
1 acre,Other crop farming,"$2,500 to $4,999",1,,
2 to 10 acres,Dairy cattle and milk production,"$2,500 to $4,999",7,,
2 to 10 acres,"Beef cattle ranching and farming, including feedlots","$2,500 to $4,999",163,,
2 to 10 acres,Hog and pig farming,"$2,500 to $4,999",15,,
2 to 10 acres,Poultry and egg production,"$2,500 to $4,999",250,,
2 to 10 acres,Sheep and goat farming,"$2,500 to $4,999",144,,
2 to 10 acres,Other animal production,"$2,500 to $4,999",603,,
2 to 10 acres,Oilseed and grain farming,"$2,500 to $4,999",8,,
2 to 10 acres,Vegetable and melon farming,"$2,500 to $4,999",172,,
2 to 10 acres,Fruit and tree nut farming,"$2,500 to $4,999",426,,
2 to 10 acres,Mushroom production,"$2,500 to $4,999",2,,
2 to 10 acres,Other food crops grown under cover,"$2,500 to $4,999",15,,
2 to 10 acres,Nursery and tree production,"$2,500 to $4,999",291,,
2 to 10 acres,Floriculture production,"$2,500 to $4,999",27,,
2 to 10 acres,Other crop farming,"$2,500 to $4,999",298,,
11 acres and over,Dairy cattle and milk production,"$2,500 to $4,999",18,,
11 acres and over,"Beef cattle ranching and farming, including feedlots","$2,500 to $4,999",232,,
11 acres and over,Hog and pig farming,"$2,500 to $4,999",7,,
11 acres and over,Poultry and egg production,"$2,500 to $4,999",31,,
11 acres and over,Sheep and goat farming,"$2,500 to $4,999",70,,
11 acres and over,Other animal production,"$2,500 to $4,999",578,,
11 acres and over,Oilseed and grain farming,"$2,500 to $4,999",15,,
11 acres and over,Vegetable and melon farming,"$2,500 to $4,999",64,,
11 acres and over,Fruit and tree nut farming,"$2,500 to $4,999",124,,
11 acres and over,Mushroom production,"$2,500 to $4,999",1,,
11 acres and over,Other food crops grown under cover,"$2,500 to $4,999",4,,
11 acres and over,Nursery and tree production,"$2,500 to $4,999",91,,
11 acres and over,Floriculture production,"$2,500 to $4,999",8,,
11 acres and over,Other crop farming,"$2,500 to $4,999",694,,
1 acre,Dairy cattle and milk production,"$5,000 to $9,999",0,,
1 acre,"Beef cattle ranching and farming, including feedlots","$5,000 to $9,999",1,,
1 acre,Hog and pig farming,"$5,000 to $9,999",0,,
1 acre,Poultry and egg production,"$5,000 to $9,999",3,,
1 acre,Sheep and goat farming,"$5,000 to $9,999",1,,
1 acre,Other animal production,"$5,000 to $9,999",7,,
1 acre,Oilseed and grain farming,"$5,000 to $9,999",1,,
1 acre,Vegetable and melon farming,"$5,000 to $9,999",10,,
1 acre,Fruit and tree nut farming,"$5,000 to $9,999",2,,
1 acre,Mushroom production,"$5,000 to $9,999",0,,
