Year,Total_harvest_m3peryear,Coast_harvest_m3peryear,Interior_harvest_m3peryear
2010,82695868,18657145,64038723
2011,79329706,18403183,60926523
2012,78795092,18186085,60609007
2013,78675342,18620142,60055200
2014,80160420,18628142,61532278
2015,77671921,18525643,59146278
2016,72511748,16295301,56216447
2017,71878768,16295301,55583467
2018,71841892,16270484,55571408
2019,70401205,15789325,54611880
2020,68846759,15495279,53351480
2021,65866155,15415675,50450480
2022,66006901,15575821,50431080
2023,65106007,15959087,49146920
2024,65129199,16117279,49011920
2025,58630003,16127997,42502006
2026,56579436,15963930,40615506
2027,56371953,15814447,40557506
2028,56371953,15814447,40557506
2029,56271553,15759047,40512506
2030,56181753,15759047,40422706
2031,56076753,15713047,40363706
2032,55944182,15702976,40241206
2033,55842515,15601309,40241206
2034,55623085,15601309,40021776
2035,55606365,15584589,40021776
2036,55563665,15541889,40021776
2037,55466465,15444689,40021776
2038,55466465,15444689,40021776
2039,55357765,15391989,39965776
2040,55511841,15513989,39997852
2041,55402841,15513989,39888852
2042,55296402,15513989,39782413
2043,55194336,15412323,39782013
2044,55194736,15412323,39782413
2045,55207736,15399823,39807913
2046,55149536,15341623,39807913
2047,55052136,15254223,39797913
2048,55052136,15254223,39797913
2049,55002136,15204223,39797913
2050,55096336,15204223,39892113
2051,55031936,15204223,39827713
2052,54957821,15204223,39753598
2053,54957821,15204223,39753598
2054,54957821,15204223,39753598
2055,54945721,15151623,39794098
2056,54945721,15151623,39794098
2057,54821182,15118751,39702431
2058,54821182,15118751,39702431
2059,54855782,15153351,39702431
2060,55066432,15153351,39913081
2061,55311932,15153351,40158581
2062,55286897,15153351,40133546
2063,55286897,15153351,40133546
2064,55286897,15153351,40133546
2065,55292397,15120351,40172046
2066,55292397,15120351,40172046
2067,55209730,15120351,40089379
2068,55209730,15120351,40089379
2069,55259730,15170351,40089379
2070,55834087,15135488,40698599
2071,55775087,15135488,40639599
2072,57893587,15135488,42758099
2073,57736837,15135488,42601349
2074,58096837,15135488,42961349
2075,58108837,15135488,42973349
2076,62130837,15135488,46995349
2077,62058171,15135488,46922683
2078,62044731,15135488,46909243
2079,62077331,15168088,46909243
2080,62098251,15168088,46930163
2081,62182251,15202088,46980163
2082,62182251,15202088,46980163
2083,62263501,15300088,46963413
2084,62263501,15300088,46963413
2085,62356216,15375088,46981128
2086,62406216,15375088,47031128
2087,62406216,15375088,47031128
2088,62471216,15440088,47031128
2089,62473566,15440088,47033478
2090,62571486,15517088,47054398
2091,62659778,15545380,47114398
2092,62719778,15545380,47174398
2093,62563028,15545380,47017648
2094,62563028,15545380,47017648
2095,62575028,15545380,47029648
2096,62629828,15600180,47029648
2097,62745800,15716152,47029648
2098,62731240,15716152,47015088
2099,62731240,15716152,47015088
2100,63073219,15769861,47303358
