OID_,SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,SOILNAME,KIND,WATERTBL,ROOTRESTRI,RESTR_TYPE,DRAINAGE,PMTEX1,PMTEX2,PMTEX3,PMCHEM1,PMCHEM2,PMCHEM3,MDEP1,MDEP2,MDEP3,ORDER2,G_GROUP2,S_GROUP2,ORDER3,G_GROUP3,S_GROUP3,DATE_,SLFNA,WHERE_,OSOIL_CODE,OSOILNAME,REPORT,LEVEL_,PHASCO3,PHASLITH,PHASPEAT,PHASSAL,OMDEP1,OMDEP2,OMDEP3,PARTSZC,RZPZ,CALC_C,STEMP,ORGSURT,MINRCS,DPTHLTH,SMOIST,MINSURT,REACTC,SDPTH,REACTORG,PSTL,LIMNIC,DATE_RETIR,STATUS,LINK,CRM_COMMEN,DataGroup,DataSource,DataProces,DataGroup_,Soil_Symbo,Soil_Name,Soil_Modif,Soil_Profi,SURF_TEXTU,SURF_LAYER,SURF_HZN_T,DOM_TEXTUR
,BCADT~~~~~N,BC,ADT, ,N,ADAMANT,M,NO,0,-,W,MC,-,-,AN,-,-,COLL,-,-, , , ,PZ,HFP,SM,2015-01-26 0:00:00, , , , ,0,CMU2,N,N,N,N, , , ,LS, , ,VCLD, ,MXNC, ,HUMI, ,AC,VSLI, , , ,,P,Soil does not currently exist on federal website, ,BCSNF,BCSNF,2017-03-30 0:00:00,1,BCADT~~~~~N,ADAMANT, ,N,SL,2,11.000000000000000,SL
,BCAGT~~~~~N,BC,AGT, ,N,ANGLEMONT,M,NO,0,-,W,MS,-,-,VC,-,-,COLL,-,-,BR,DYB,E,BR,DYB,E,2015-01-26 0:00:00, ,VERNON REC,AGT,ANGLEMONT,16,CMU2,N,N,N,N,COLL,-,-,CL, ,EC,COOL, ,MXNC, ,SBHU, ,AL, , , , ,,FL,http://sis.agr.gc.ca/cansis/soils/bc/AGT/~~~~~/N/description.html, ,BCSNF,BCSNF,2017-03-30 0:00:00,2,BCAGT~~~~~N,ANGLEMONT, ,N,SL,2,3.000000000000000,SL
,BCALA~~~~~N,BC,ALA, ,N,ALANS,M,NO,4,UN,W,MC,-,-,WC,-,-,TILL,-,-,-,-,-,LU,GL,O,2015-01-26 0:00:00, ,Canim, , ,24, , , , , , , , ,CL, , , , , , , , , , , , , ,,P,Soil does not currently exist on federal website, ,BCSNF,BCSNF,2017-03-30 0:00:00,3,BCALA~~~~~N,ALANS, ,N, , ,0.000000000000000,-
,BCALE~~~~~N,BC,ALE, ,N,ALLIE,M,NO,6,CT,W,MF,-,-,VC,-,-,TILL,-,-,LU,GL,BR,LU,GL,BR,2015-01-26 0:00:00, ,ASHCROFT,ALE,ALLIE,16,CMU2,N,N,N,N,TILL,-,-,LS, ,SC,COOL, ,MXNC, ,SBHU, ,AL, , , , ,,FL,http://sis.agr.gc.ca/cansis/soils/bc/ALE/~~~~~/N/description.html, ,BCSNF,BCSNF,2017-03-30 0:00:00,4,BCALE~~~~~N,ALLIE, ,N,SL,2,18.000000000000000,SL
,BCALK~~~~~N,BC,ALK, ,N,ALKALI,M,NO,8,CT,W,MF,-,-,AN,-,-,TILL,-,-,LU,GL,PZ,LU,GL,PZ,2015-01-26 0:00:00, ,INT. PLAT.,ALK,ALKALI,24,CMU2,N,N,N,N,TILL,-,-,LS, , , , , , , , , , , , , ,,FL,http://sis.agr.gc.ca/cansis/soils/bc/ALK/~~~~~/N/description.html, ,BCSNF,BCSNF,2017-03-30 0:00:00,5,BCALK~~~~~N,ALKALI, ,N,LS,2,3.000000000000000,CL
,BCALK~~~~~A,BC,ALK, ,A,ALKALI,M,NO,7,CT,W,MF,-,-,AN,-,-,TILL,-,-,LU,GL,PZ,LU,GL,PZ,2015-01-26 0:00:00, ,INT. PLAT.,ALK,ALKALI,24,CMU2,N,N,N,N,TILL,-,-,LS, , , , , , , , , , , , , ,,FL,http://sis.agr.gc.ca/cansis/soils/bc/ALK/~~~~~/A/description.html, ,BCSNF,BCSNF,2017-03-30 0:00:00,6,BCALK~~~~~A,ALKALI, ,A,SL,1,5.000000000000000,CL
,BCALM~~~~~N,BC,ALM, ,N,ALLAMORE,M,NO,5,CT,W,M,-,-,WC,-,-,TILL,-,-,LU,GL,PZ,LU,GL,PZ,2015-01-26 0:00:00, ,ASHCROFT,ALM,ALLAMORE,16,CMU2,N,N,N,N,TILL,-,-,LS, ,WC,COLD, ,MXNC, ,HUMI, ,AL, , , , ,,FL,http://sis.agr.gc.ca/cansis/soils/bc/ALM/~~~~~/N/description.html, ,BCSNF,BCSNF,2017-03-30 0:00:00,7,BCALM~~~~~N,ALLAMORE, ,N,SL,2,20.000000000000000,L
,BCALO~~~~~N,BC,ALO, ,N,ALLENTOWN,M,NO,0,-,W,MC,-,-,AN,-,-,TILL,-,-, , , ,GL,GL,BR,2015-01-26 0:00:00, , , , ,0,CMU2,N,Y,N,N, , , ,LS, , , , , , , , , , , , , ,,P,Soil does not currently exist on federal website, ,BCSNF,BCSNF,2017-03-30 0:00:00,8,BCALO~~~~~N,ALLENTOWN, ,N,SL,2,13.000000000000000,SL
,BCALO~~~~~A,BC,ALO, ,A,ALLENTOWN,M,NO,0,-,W,MC,-,-,AN,-,-,TILL,-,-, , , ,GL,GL,BR,2015-01-26 0:00:00, , , , ,0,CMU2,N,Y,N,N, , , ,LS, , , , , , , , , , , , , ,,P,Soil does not currently exist on federal website, ,BCSNF,BCSNF,2017-03-30 0:00:00,9,BCALO~~~~~A,ALLENTOWN, ,A,SL,1,8.000000000000000,SL
,BCAMB~~~~~N,BC,AMB, ,N,AMBUSH,M,NO,0,-,W,C,-,-,AN,-,-,TILL,-,-,-,-,-,LU,GL,BR,2015-01-26 0:00:00, , , , ,24,CMU2,N,N,N,N, , , ,LS, , , , , , , , , , , , , ,,P,Soil does not currently exist on federal website, ,BCSNF,BCSNF,2017-03-30 0:00:00,10,BCAMB~~~~~N,AMBUSH, ,N,SL,2,13.000000000000000,-
,BCAMG~~~~~N,BC,AMG, ,N,ARMSTRONG,M,NO,6,UN,W,MC,-,-,VC,-,-,TILL,-,-,CH,BL,O,CH,BLC,O,2015-01-26 0:00:00, ,NOK,AMG,ARMSTRONG,29,CMU2,N,N,N,N,TILL,-,-,LS, ,SC, , , , , , , , , , , ,,FL,http://sis.agr.gc.ca/cansis/soils/bc/AMG/~~~~~/N/description.html, ,BCSNF,BCSNF,2017-03-30 0:00:00,11,BCAMG~~~~~N,ARMSTRONG, ,N,SL,2,18.000000000000000,SL
,BCAMG~~~~~A,BC,AMG, ,A,ARMSTRONG,M,NO,5,UN,W,MC,-,-,VC,-,-,TILL,-,-,CH,BL,O,CH,BLC,O,2015-01-26 0:00:00, ,NOK,AMG,ARMSTRONG,29,CMU2,N,N,N,N,TILL,-,-,LS, ,SC, , , , , , , , , , , ,,FL,http://sis.agr.gc.ca/cansis/soils/bc/AMG/~~~~~/A/description.html, ,BCSNF,BCSNF,2017-03-30 0:00:00,12,BCAMG~~~~~A,ARMSTRONG, ,A,SL,1,18.000000000000000,SL
,BCANE~~~~~N,BC,ANE, ,N,ANEMONE,M,NO,0,-,W,MC,-,-,AN,-,-,COLL,-,-, , , ,BR,DYB,E,2015-01-26 0:00:00, , , , ,16,CMU2,N,N,N,N,COLL,-,-,LS, ,WC,COLD, ,MXNC, ,HUMI, ,AL, , , , ,,P,Soil does not currently exist on federal website, ,BCSNF,BCSNF,2017-03-30 0:00:00,13,BCANE~~~~~N,ANEMONE, ,N,SL,2,5.000000000000000,SL
,BCAQU~~~~~N,BC,AQU, ,N,AQUALINE,M,NO,6,CT,W,MC,-,-,AN,-,-,TILL,-,-,LU,GL,BR,LU,GL,BR,2015-01-26 0:00:00, ,BONOPARTE-CANIM,AQU,AQUALINE,24,CMU2,N,N,N,N,TILL,-,-,LS,LY, , , , , , , , , , , , ,,P,Soil does not currently exist on federal website, ,BCSNF,BCSNF,2017-03-30 0:00:00,14,BCAQU~~~~~N,AQUALINE, ,N,L,2,28.000000000000000,L
,BCARH~~~~~N,BC,ARH, ,N,ARCHIE,M,YU,8,CT,MW,MS,-,-,AN,-,-,TILL,-,-,LU,GL,PZ,LU,GL,PZ,2015-01-26 0:00:00, ,INT. PLAT.,ARH,ARCHIE,24,CMU2,N,N,N,N,TILL,TILL,-, , , , , , , , , , , , , , ,,FL,http://sis.agr.gc.ca/cansis/soils/bc/ARH/~~~~~/N/description.html, ,BCSNF,BCSNF,2017-03-30 0:00:00,15,BCARH~~~~~N,ARCHIE, ,N,SL,2,3.000000000000000,L
,BCARN~~~~~N,BC,ARN, ,N,ARTISAN,M,NO,4,UN,W,MF,-,-,VC,-,-,TILL,-,-,LU,GL,BR,LU,GL,BR,2015-01-26 0:00:00, ,ASHCROFT,ARN,ARTISAN,16,CMU2,N,N,N,N,TILL,-,-,LS, ,SC,COOL, ,MXNC, ,SBHU, ,AL, , , , ,,FL,http://sis.agr.gc.ca/cansis/soils/bc/ARN/~~~~~/N/description.html, ,BCSNF,BCSNF,2017-03-30 0:00:00,16,BCARN~~~~~N,ARTISAN, ,N,SL,2,18.000000000000000,L
,BCARO~~~~~N,BC,ARO, ,N,ARGONAUT,M,NO,0,-,W,VC,-,-,EA,-,-,FLUV,-,-,PZ,HFP,O,PZ,HFP,O,2015-01-26 0:00:00, ,Vernon, , ,30,CMU2,N,N,N,N,-,-,-,SY, , ,COLD, ,MXNC, ,HUMI, ,AC, , , , ,,FL,http://sis.agr.gc.ca/cansis/soils/bc/ARO/~~~~~/N/description.html, ,BCSNF,BCSNF,2017-03-30 0:00:00,17,BCARO~~~~~N,ARGONAUT, ,N,LS,2,10.000000000000000,S
,BCARO~~~~~A,BC,ARO, ,A,ARGONAUT,M,NO,0,-,W,VC,-,-,EA,-,-,FLUV,-,-,PZ,HFP,O,PZ,HFP,O,2015-01-26 0:00:00, ,Vernon, , ,30,CMU2,N,N,N,N,-,-,-,SY, , ,COLD, ,MXNC, ,HUMI, ,AC, , , , ,,FL,http://sis.agr.gc.ca/cansis/soils/bc/ARO/~~~~~/A/description.html, ,BCSNF,BCSNF,2017-03-30 0:00:00,18,BCARO~~~~~A,ARGONAUT, ,A,LS,1,6.000000000000000,S
,BCARR~~~~~N,BC,ARR, ,N,ARMOUR,M,YU,4,CT,MW,MC,-,-,EA,-,-,TILL,-,-,PZ,FHP,O,PZ,FHP,O,2015-01-26 0:00:00, ,Vernon, , ,30,CMU2,N,N,N,N,-,-,-,COL, , ,VCLD, ,MXNC, ,PRHU, ,AC, , , , ,,FL,http://sis.agr.gc.ca/cansis/soils/bc/ARR/~~~~~/N/description.html, ,BCSNF,BCSNF,2017-03-30 0:00:00,19,BCARR~~~~~N,ARMOUR, ,N,LS,1,15.000000000000000,LS
,BCARR~~~~~A,BC,ARR, ,A,ARMOUR,M,YU,4,CT,MW,MC,-,-,EA,-,-,TILL,-,-,PZ,FHP,O,PZ,FHP,O,2015-01-26 0:00:00, ,Vernon, , ,30,CMU2,N,N,N,N,-,-,-,COL, , ,VCLD, ,MXNC, ,PRHU, ,AC, , , , ,,FL,http://sis.agr.gc.ca/cansis/soils/bc/ARR/~~~~~/A/description.html, ,BCSNF,BCSNF,2017-03-30 0:00:00,20,BCARR~~~~~A,ARMOUR, ,A,LS,1,15.000000000000000,LS
,BCART~~~~~N,BC,ART, ,N,ART,M,NO,7,CT,W,M,-,-,WC,-,-,TILL,-,-,LU,GL,BR,LU,GL,BR,2015-01-26 0:00:00, ,INT. PLAT.,ART,ART,24,CMU2,N,N,N,N,TILL,-,-,LS, , , , , , , , , , , , , ,,FL,http://sis.agr.gc.ca/cansis/soils/bc/ART/~~~~~/N/description.html, ,BCSNF,BCSNF,2017-03-30 0:00:00,21,BCART~~~~~N,ART, ,N,SL,2,5.000000000000000,CL
,BCASH~~~~~N,BC,ASH, ,N,ASHTON,M,NO,0,-,W,VC,-,-,AN,-,-,TILL,-,-,BR,DYB,E,BR,DYB,E,2015-01-26 0:00:00, ,Vernon, , ,30,CMU2,N,N,N,N,-,-,-,SS, , , , , , , , , , , , , ,,FL,http://sis.agr.gc.ca/cansis/soils/bc/ASH/~~~~~/N/description.html, ,BCSNF,BCSNF,2017-03-30 0:00:00,22,BCASH~~~~~N,ASHTON, ,N,SL,2,3.000000000000000,SL
,BCASH~~~~~A,BC,ASH, ,A,ASHTON,M,NO,0,-,W,VC,-,-,AN,-,-,TILL,-,-,BR,DYB,O,BR,DYB,O,2015-01-26 0:00:00, ,Vernon, , ,30,CMU2,N,N,N,N,-,-,-,SS, , , , , , , , , , , , , ,,FL,http://sis.agr.gc.ca/cansis/soils/bc/ASH/~~~~~/A/description.html, ,BCSNF,BCSNF,2017-03-30 0:00:00,23,BCASH~~~~~A,ASHTON, ,A,SL,1,8.000000000000000,SL
,BCASO~~~~~,BC,ASO, , ,ASTORIA,M,YU,5,UN,MW,C,-,-,EA,-,-,TILL,-,-, , , ,LU,GL,PZ,2015-01-26 0:00:00, , , , ,0, , , , , , , , ,LS, , , , , , , , , , , , , ,,P,Soil does not currently exist on federal website, ,BCSNF,BCSNF,2017-03-30 0:00:00,24,BCASO~~~~~,ASTORIA, , , , ,0.000000000000000,-
,BCAUG~~~~~N,BC,AUG, ,N,AUGUST,M,YU,7,CT,MW,C,-,-,AN,-,-,TILL, , , , , ,PZ,HFP,LU,2015-01-26 0:00:00, , , , ,0, , , , , , , , ,SS, , , , , , , , , , , , , ,,P,Soil does not currently exist on federal website, ,BCSNF,BCSNF,2017-03-30 0:00:00,25,BCAUG~~~~~N,AUGUST, ,N,SL,2,5.000000000000000,SL
