Year,Sector,Economic Development Region,Institution,Value,,,,,,,,
AY 2011/12,Institute,Mainland/Southwest,British Columbia Institute of Technology,"$7,500",,,,,,,,
AY 2011/12,Teaching Intensive University,Mainland/Southwest,Emily Carr University of Art and Design,"$12,000",,,,,,,,
AY 2011/12,Teaching Intensive University,Vancouver Island/Coast,Royal Roads University,"$10,810",,,,,,,,
AY 2011/12,Teaching Intensive University,Thompson Okanagan,Thompson Rivers University,"$5,852",,,,,,,,
AY 2011/12,Teaching Intensive University,Mainland/Southwest,University of the Fraser Valley,"$8,109",,,,,,,,
AY 2011/12,Teaching Intensive University,Vancouver Island/Coast,Vancouver Island University,"$7,820",,,,,,,,
AY 2011/12,Research Intensive University,Mainland/Southwest,Simon Fraser University,"$6,430",,,,,,,,
AY 2011/12,Research Intensive University,Mainland/Southwest,University of British Columbia,"$4,264",,,,,,,,
AY 2011/12,Research Intensive University,Cariboo,University of Northern British Columbia,"$2,870",,,,,,,,
AY 2011/12,Research Intensive University,Vancouver Island/Coast,University of Victoria,"$3,366",,,,,,,,
AY 2012/13,Institute,Mainland/Southwest,British Columbia Institute of Technology,"$7,500",,,,,,,,
AY 2012/13,Teaching Intensive University,Mainland/Southwest,Emily Carr University of Art and Design,"$12,500",,,,,,,,
AY 2012/13,Teaching Intensive University,Vancouver Island/Coast,Royal Roads University,"$11,025",,,,,,,,
AY 2012/13,Teaching Intensive University,Thompson Okanagan,Thompson Rivers University,"$6,600",,,,,,,,
AY 2012/13,Teaching Intensive University,Mainland/Southwest,University of the Fraser Valley,"$8,271",,,,,,,,
AY 2012/13,Teaching Intensive University,Vancouver Island/Coast,Vancouver Island University,"$7,820",,,,,,,,
AY 2012/13,Research Intensive University,Mainland/Southwest,Simon Fraser University,"$6,559",,,,,,,,
AY 2012/13,Research Intensive University,Mainland/Southwest,University of British Columbia,"$4,349",,,,,,,,
AY 2012/13,Research Intensive University,Cariboo,University of Northern British Columbia,"$2,928",,,,,,,,
AY 2012/13,Research Intensive University,Vancouver Island/Coast,University of Victoria,"$3,433",,,,,,,,
AY 2013/14,Institute,Mainland/Southwest,British Columbia Institute of Technology,"$7,500",,,,,,,,
AY 2013/14,Teaching Intensive University,Mainland/Southwest,Emily Carr University of Art and Design,"$13,000",,,,,,,,
AY 2013/14,Teaching Intensive University,Vancouver Island/Coast,Royal Roads University,"$11,245",,,,,,,,
AY 2013/14,Teaching Intensive University,Thompson Okanagan,Thompson Rivers University,"$6,732",,,,,,,,
AY 2013/14,Teaching Intensive University,Mainland/Southwest,University of the Fraser Valley,"$8,436",,,,,,,,
AY 2013/14,Teaching Intensive University,Vancouver Island/Coast,Vancouver Island University,"$7,976",,,,,,,,
AY 2013/14,Research Intensive University,Mainland/Southwest,Simon Fraser University,"$6,691",,,,,,,,
AY 2013/14,Research Intensive University,Mainland/Southwest,University of British Columbia,"$4,436",,,,,,,,
AY 2013/14,Research Intensive University,Cariboo,University of Northern British Columbia,"$2,986",,,,,,,,
AY 2013/14,Research Intensive University,Vancouver Island/Coast,University of Victoria,"$3,502",,,,,,,,
AY 2014/15,Institute,Mainland/Southwest,British Columbia Institute of Technology,"$7,500",,,,,,,,
AY 2014/15,Teaching Intensive University,Mainland/Southwest,Emily Carr University of Art and Design,"$13,520",,,,,,,,
AY 2014/15,Teaching Intensive University,Vancouver Island/Coast,Royal Roads University,"$11,465",,,,,,,,
AY 2014/15,Teaching Intensive University,Thompson Okanagan,Thompson Rivers University,"$6,867",,,,,,,,
AY 2014/15,Teaching Intensive University,Mainland/Southwest,University of the Fraser Valley,"$8,605",,,,,,,,
